,Roraima- custo m2 (R$)
2020-1-1,29199.52
2020-2-2,29181.15
2020-3-3,29112.12
2020-4-4,29066.17
2020-5-5,29109.21
2020-6-6,29132.07
2020-7-7,29246.86
2020-8-8,29414.25
2020-9-9,29904.66
2020-10-10,30139.67
2020-11-11,30673.31
2020-12-12,31841.57
2021-1-1,32180.92
2021-2-2,32431.77
2021-3-3,32664.97
2021-4-4,33182.73
2021-5-5,34011.93
2021-6-6,34240.35
2021-7-7,34857.4
2021-8-8,35555.8
2021-9-9,36185.88
2021-10-10,36742.71
2021-11-11,37969.57
2021-12-12,38226.58
2022-1-1,38345.93
2022-2-2,38489.73
2022-3-3,38750.54
2022-4-4,38633.46
2022-5-5,39146.82
2022-6-6,39840.01
2022-7-7,40187.84
2022-8-8,40589.95
2022-9-9,40909.6
2022-10-10,42154.89
2022-11-11,42216.3
2022-12-12,42561.53
2023-1-1,42414.81
2023-2-2,42556.22
2023-3-3,42373.32
2023-4-4,42734.04
2023-5-5,42862.18
2023-6-6,42794.54
2023-7-7,42877.5
2023-8-8,42917.19
2023-9-9,43250.11
