,Mato Grosso do Sul- custo m2 (R$)
2022-2-2,35304.84
2022-3-3,35404.54
2022-4-4,36129.61
2022-5-5,36522.04
2022-6-6,36682.67
2022-7-7,37221.67
2022-8-8,38637.38
2022-9-9,38705.29
2022-10-10,38724.44
2022-11-11,38708.73
2022-12-12,38782.4
2023-1-1,39008.17
2023-2-2,38973.96
2023-3-3,38888.59
2023-4-4,39088.62
2023-5-5,38968.67
2023-6-6,38691.99
2023-7-7,38740.1
2023-8-8,39461.21
2023-9-9,39480.09
