,Santa Catarina- custo m2 (R$)
2016-4-4,25738.72
2016-5-5,25838.1
2016-6-6,26664.58
2016-7-7,26838.32
2016-8-8,26813.63
2016-9-9,26821.73
2016-10-10,27088.09
2016-11-11,27199.53
2016-12-12,27267.67
2017-1-1,27333.33
2017-2-2,27487.85
2017-3-3,27514.03
2017-4-4,27636.04
2017-5-5,27692.47
2017-6-6,28431.97
2017-7-7,28526.64
2017-8-8,28643.84
2017-9-9,28722.93
2017-10-10,28795.4
2017-11-11,28866.99
2017-12-12,28965.55
2018-1-1,28945.68
2018-2-2,29126.21
2018-3-3,29251.17
2018-4-4,29250.31
2018-5-5,29172.98
2018-6-6,29611.29
2018-7-7,29640.9
2018-8-8,29672.29
2018-9-9,29701.17
2018-10-10,29887.12
2018-11-11,30054.68
2018-12-12,30250.79
2019-1-1,30325.9
2019-2-2,30440.06
2019-3-3,30758.65
2019-4-4,30822.32
2019-5-5,30904.85
2019-6-6,31180.19
2019-7-7,31190.14
2019-8-8,32017.62
2019-9-9,32034.13
2019-10-10,32075.89
2019-11-11,32178.08
2019-12-12,32185.32
2020-1-1,32168.21
2020-2-2,32286.95
2020-3-3,32425.8
2020-4-4,32449.32
2020-5-5,32460.76
2020-6-6,32420.57
2020-7-7,32539.9
2020-8-8,32844.11
2020-9-9,33120.03
2020-10-10,34065.97
2020-11-11,34599.44
2020-12-12,35213.22
2021-1-1,35431.84
2021-2-2,36084.68
2021-3-3,36582.36
2021-4-4,37160.3
2021-5-5,37393.59
2021-6-6,38584.48
2021-7-7,39401.49
2021-8-8,40754.39
2021-9-9,41218.77
2021-10-10,41452.39
2021-11-11,41824.12
2021-12-12,41893.93
2022-1-1,42054.43
2022-2-2,42210.16
2022-3-3,42329.43
2022-4-4,42712.93
2022-5-5,43213.66
2022-6-6,43632.09
2022-7-7,43956.89
2022-8-8,44620.95
2022-9-9,45799.53
2022-10-10,45934.31
2022-11-11,46046.61
2022-12-12,46368.46
2023-1-1,46371.7
2023-2-2,46337.15
2023-3-3,46281.84
2023-4-4,46517.11
2023-5-5,46760.4
2023-6-6,47774.68
2023-7-7,47690.22
2023-8-8,47771.39
2023-9-9,47822.99
