,Bahia- custo m2 (R$)
2020-6-6,27244.9
2020-7-7,27437.88
2020-8-8,27765.91
2020-9-9,28414.45
2020-10-10,29264.83
2020-11-11,30062.02
2020-12-12,31057.38
2021-1-1,31692.55
2021-2-2,32347.16
2021-3-3,32910.01
2021-4-4,33752.83
2021-5-5,34674.32
2021-6-6,35354.13
2021-7-7,35847.34
2021-8-8,36021.88
2021-9-9,36230.43
2021-10-10,36429.33
2021-11-11,36639.58
2021-12-12,36869.6
2022-1-1,37121.57
2022-2-2,37182.79
2022-3-3,37905.01
2022-4-4,37994.77
2022-5-5,38505.07
2022-6-6,38707.84
2022-7-7,39580.52
2022-8-8,39546.36
2022-9-9,39518.33
2022-10-10,39464.82
2022-11-11,39429.28
2022-12-12,39124.84
2023-1-1,39088.86
2023-2-2,39036.63
2023-3-3,39703.73
2023-4-4,39957.74
2023-5-5,39779.9
2023-6-6,39632.55
2023-7-7,39418.54
2023-8-8,39285.23
2023-9-9,39242.32
