,Amapá- custo m2 (R$)
2020-4-4,28922.67
2020-5-5,29097.63
2020-6-6,29270.36
2020-7-7,29520.62
2020-8-8,29793.81
2020-9-9,30045.92
2020-10-10,30354.36
2020-11-11,30835.69
2020-12-12,31333.58
2021-1-1,31545.25
2021-2-2,32222.21
2021-3-3,32932.95
2021-4-4,33057.21
2021-5-5,33152.29
2021-6-6,33763.85
2021-7-7,34653.52
2021-8-8,34873.94
2021-9-9,35358.96
2021-10-10,35746.18
2021-11-11,35987.08
2021-12-12,36196.2
2022-1-1,35984.14
2022-2-2,37744.35
2022-3-3,38001.04
2022-4-4,38250.58
2022-5-5,38687.52
2022-6-6,39175.66
2022-7-7,39350.28
2022-8-8,39584.85
2022-9-9,39752.98
2022-10-10,39818.38
2022-11-11,39829.93
2022-12-12,40209.89
2023-1-1,40149.64
2023-2-2,40918.91
2023-3-3,40979.15
2023-4-4,41088.7
2023-5-5,41121.34
2023-6-6,41359.92
2023-7-7,41424.84
2023-8-8,41667.24
2023-9-9,41864.57
