,Acre- custo m2 (R$)
2014-10-10,23794.56
2014-11-11,23893.33
2014-12-12,23867.61
2015-1-1,23904.71
2015-2-2,23867.71
2015-3-3,23985.12
2015-4-4,23971.14
2015-5-5,24027.34
2015-6-6,24939.91
2015-7-7,24939.1
2015-8-8,24908.69
2015-9-9,25059.52
2015-10-10,25254.2
2015-11-11,25259.62
2015-12-12,25003.09
2016-1-1,25140.78
2016-2-2,25283.88
2016-3-3,25134.96
2016-4-4,25267.99
2016-5-5,25334.86
2016-6-6,26196.67
2016-7-7,26290.26
2016-8-8,26337.68
2016-9-9,26102.09
2016-10-10,26162.09
2016-11-11,26256.4
2016-12-12,26296.08
2017-1-1,26469.99
2017-2-2,26439.37
2017-3-3,26569.49
2017-4-4,26496.45
2017-5-5,26477.29
2017-6-6,27170.39
2017-7-7,27157.78
2017-8-8,27329.26
2017-9-9,27395.72
2017-10-10,27567.21
2017-11-11,27692.23
2017-12-12,27806.66
2018-1-1,27803.62
2018-2-2,27843.33
2018-3-3,28002.51
2018-4-4,28055.83
2018-5-5,28074.58
2018-6-6,28082.68
2018-7-7,28521.05
2018-8-8,28548.31
2018-9-9,28685.91
2018-10-10,28804.3
2018-11-11,29117.14
2018-12-12,29306.24
2019-1-1,29213.79
2019-2-2,29284.04
2019-3-3,29300.73
2019-4-4,29354.84
2019-5-5,29470.56
2019-6-6,29986.62
2019-7-7,29879.2
2019-8-8,29981.04
2019-9-9,30066.52
2019-10-10,30055.12
2019-11-11,30201.35
2019-12-12,30304.19
2020-1-1,30376.28
2020-2-2,30469.7
2020-3-3,30559.88
2020-4-4,30554.91
2020-5-5,30696.88
2020-6-6,30686.12
2020-7-7,30995.27
2020-8-8,31284.24
2020-9-9,31996.45
2020-10-10,32480.27
2020-11-11,33227.7
2020-12-12,33808.03
2021-1-1,34345.58
2021-2-2,34664.84
2021-3-3,34668.32
2021-4-4,34945.13
2021-5-5,35278.56
2021-6-6,35741.65
2021-7-7,36626.57
2021-8-8,36786.9
2021-9-9,37766.25
2021-10-10,38191.59
2021-11-11,38302.92
2021-12-12,38494.52
2022-1-1,38805.72
2022-2-2,38743.72
2022-3-3,39378.23
2022-4-4,40044.23
2022-5-5,41475.55
2022-6-6,42053.61
2022-7-7,42241.81
2022-8-8,42473.59
2022-9-9,42913.71
2022-10-10,42987.52
2022-11-11,43061.5
2022-12-12,42990.02
2023-1-1,42831.89
2023-2-2,43084.47
2023-3-3,43061.43
2023-4-4,43083.39
2023-5-5,43428.82
2023-6-6,44349.48
2023-7-7,44329.01
2023-8-8,44318.11
2023-9-9,44419.48
