,Tocantins- custo m2 (R$)
2013-12-12,20314.41
2014-1-1,20601.76
2014-2-2,20603.83
2014-3-3,20710.19
2014-4-4,20623.22
2014-5-5,20758.03
2014-6-6,21461.09
2014-7-7,21452.87
2014-8-8,21357.35
2014-9-9,21448.4
2014-10-10,21674.77
2014-11-11,21697.4
2014-12-12,21694.29
2015-1-1,21587.68
2015-2-2,21902.41
2015-3-3,21881.6
2015-4-4,22044.44
2015-5-5,21978.29
2015-6-6,22014.14
2015-7-7,22695.17
2015-8-8,22689.12
2015-9-9,22891.95
2015-10-10,22628.15
2015-11-11,22773.59
2015-12-12,22848.89
2016-1-1,23444.97
2016-2-2,23525.62
2016-3-3,23536.41
2016-4-4,23564.82
2016-5-5,23574.17
2016-6-6,23451.69
2016-7-7,23514.43
2016-8-8,23602.9
2016-9-9,23648.81
2016-10-10,23881.82
2016-11-11,24014.48
2016-12-12,24651.71
2017-1-1,24763.57
2017-2-2,24859.99
2017-3-3,25126.22
2017-4-4,25259.29
2017-5-5,25391.29
2017-6-6,25329.27
2017-7-7,25550.17
2017-8-8,25605.61
2017-9-9,25553.82
2017-10-10,25747.22
2017-11-11,25705.76
2017-12-12,25707.0
2018-1-1,25575.27
2018-2-2,25673.12
2018-3-3,25777.7
2018-4-4,25966.55
2018-5-5,25980.69
2018-6-6,25871.95
2018-7-7,25876.76
2018-8-8,25924.35
2018-9-9,26159.43
2018-10-10,26718.9
2018-11-11,26749.29
2018-12-12,26739.83
2019-1-1,26760.72
2019-2-2,26854.64
2019-3-3,26893.27
2019-4-4,26935.79
2019-5-5,26966.54
2019-6-6,26967.64
2019-7-7,27048.74
2019-8-8,27156.86
2019-9-9,27257.69
2019-10-10,27224.83
2019-11-11,27212.37
2019-12-12,27220.62
2020-1-1,27438.88
2020-2-2,27531.67
2020-3-3,27489.14
2020-4-4,27741.57
2020-5-5,27901.62
2020-6-6,27927.18
2020-7-7,28038.54
2020-8-8,28288.13
2020-9-9,28841.72
2020-10-10,29385.97
2020-11-11,30131.11
2020-12-12,30709.11
2021-1-1,31259.24
2021-2-2,31530.34
2021-3-3,31800.15
2021-4-4,31839.47
2021-5-5,32239.81
2021-6-6,32669.91
2021-7-7,33515.78
2021-8-8,33829.4
2021-9-9,34086.7
2021-10-10,34341.56
2021-11-11,34899.23
2021-12-12,35019.35
2022-1-1,36441.14
2022-2-2,36708.83
2022-3-3,36791.2
2022-4-4,37576.46
2022-5-5,38082.55
2022-6-6,38553.25
2022-7-7,40124.23
2022-8-8,40432.0
2022-9-9,40407.89
2022-10-10,40575.56
2022-11-11,40303.47
2022-12-12,40458.53
2023-1-1,40744.72
2023-2-2,40937.09
2023-3-3,40755.3
2023-4-4,40975.85
2023-5-5,40918.43
2023-6-6,40799.23
2023-7-7,41267.17
2023-8-8,41207.05
2023-9-9,41411.93
