,Pernambuco- custo m2 (R$)
2018-5-5,25490.85
2018-6-6,25796.36
2018-7-7,25758.44
2018-8-8,25835.62
2018-9-9,25848.28
2018-10-10,25819.75
2018-11-11,25823.13
2018-12-12,25892.14
2019-1-1,25835.45
2019-2-2,25893.27
2019-3-3,25936.5
2019-4-4,25979.55
2019-5-5,25975.66
2019-6-6,26609.07
2019-7-7,26546.36
2019-8-8,26514.64
2019-9-9,26445.76
2019-10-10,26446.71
2019-11-11,26372.3
2019-12-12,26377.86
2020-1-1,26523.64
2020-2-2,26626.68
2020-3-3,26623.96
2020-4-4,26702.87
2020-5-5,26742.93
2020-6-6,26806.21
2020-7-7,26888.34
2020-8-8,27225.06
2020-9-9,27597.24
2020-10-10,28405.42
2020-11-11,29183.32
2020-12-12,29780.93
2021-1-1,30187.72
2021-2-2,30721.99
2021-3-3,31100.81
2021-4-4,31819.57
2021-5-5,32514.09
2021-6-6,33869.33
2021-7-7,34076.08
2021-8-8,34382.22
2021-9-9,34500.04
2021-10-10,34677.92
2021-11-11,35096.71
2021-12-12,35316.88
2022-1-1,35426.89
2022-2-2,35721.66
2022-3-3,35919.45
2022-4-4,36462.19
2022-5-5,36753.76
2022-6-6,38813.81
2022-7-7,39245.28
2022-8-8,39260.7
2022-9-9,39380.64
2022-10-10,39560.21
2022-11-11,39799.17
2022-12-12,39866.07
2023-1-1,39814.61
2023-2-2,39601.36
2023-3-3,39469.95
2023-4-4,39883.93
2023-5-5,39695.59
2023-6-6,40563.71
2023-7-7,40791.29
2023-8-8,40880.19
2023-9-9,40633.19
