,Minas Gerais- custo m2 (R$)
2013-12-12,20716.76
2014-1-1,20818.9
2014-2-2,20909.62
2014-3-3,21042.31
2014-4-4,21095.37
2014-5-5,21057.42
2014-6-6,21107.82
2014-7-7,21289.79
2014-8-8,21349.67
2014-9-9,21340.88
2014-10-10,21407.06
2014-11-11,21347.14
2014-12-12,22107.05
2015-1-1,22151.44
2015-2-2,22162.39
2015-3-3,22222.44
2015-4-4,22235.38
2015-5-5,22389.95
2015-6-6,22412.05
2015-7-7,22537.88
2015-8-8,22589.47
2015-9-9,22671.25
2015-10-10,22623.28
2015-11-11,22691.63
2015-12-12,22713.23
2016-1-1,22767.69
2016-2-2,22936.86
2016-3-3,24078.64
2016-4-4,24113.36
2016-5-5,24155.34
2016-6-6,24214.45
2016-7-7,24215.63
2016-8-8,24135.27
2016-9-9,24257.87
2016-10-10,24307.79
2016-11-11,24250.69
2016-12-12,24314.41
2017-1-1,24329.04
2017-2-2,24352.54
2017-3-3,25070.88
2017-4-4,25053.88
2017-5-5,25130.19
2017-6-6,25225.03
2017-7-7,25317.6
2017-8-8,25343.99
2017-9-9,25329.0
2017-10-10,25360.51
2017-11-11,25377.85
2017-12-12,25298.62
2018-1-1,25333.68
2018-2-2,25408.72
2018-3-3,25433.64
2018-4-4,25782.46
2018-5-5,25843.2
2018-6-6,25984.4
2018-7-7,26098.54
2018-8-8,26178.5
2018-9-9,26269.21
2018-10-10,26441.33
2018-11-11,26477.98
2018-12-12,26475.19
2019-1-1,27154.13
2019-2-2,27214.02
2019-3-3,27327.4
2019-4-4,27458.94
2019-5-5,27418.81
2019-6-6,27427.78
2019-7-7,27697.13
2019-8-8,27668.65
2019-9-9,27841.38
2019-10-10,27881.57
2019-11-11,27961.63
2019-12-12,28081.58
2020-1-1,28231.68
2020-2-2,28342.37
2020-3-3,28432.91
2020-4-4,28489.33
2020-5-5,28521.49
2020-6-6,28504.16
2020-7-7,28560.09
2020-8-8,28882.64
2020-9-9,29232.92
2020-10-10,29814.72
2020-11-11,30507.58
2020-12-12,31058.75
2021-1-1,32333.82
2021-2-2,32869.3
2021-3-3,33612.24
2021-4-4,34621.64
2021-5-5,35296.0
2021-6-6,36011.29
2021-7-7,36793.86
2021-8-8,37172.43
2021-9-9,37238.5
2021-10-10,37432.23
2021-11-11,37550.4
2021-12-12,37624.26
2022-1-1,37779.87
2022-2-2,38046.57
2022-3-3,39425.73
2022-4-4,40074.93
2022-5-5,40548.84
2022-6-6,40975.53
2022-7-7,41198.93
2022-8-8,41355.2
2022-9-9,41460.61
2022-10-10,41382.5
2022-11-11,41339.21
2022-12-12,41151.46
2023-1-1,41934.8
2023-2-2,41885.03
2023-3-3,41865.5
2023-4-4,41796.79
2023-5-5,41658.03
2023-6-6,41446.65
2023-7-7,41318.42
2023-8-8,41231.6
2023-9-9,41101.92
