Ano,PPC (US$)
2022-5,484.98579706444724
2022-6,485.8832488284816
2022-7,486.72111028600153
2022-8,487.5118689148745
2022-9,488.2925146693267
2022-10,489.02283970850687
2022-11,489.78261374357925
2022-12,490.63687626615973
2023-1,491.6761631015762
2023-2,491.501675855953
2023-3,491.2802084885339
2023-4,491.0222736232014
2023-5,490.66791719924174
2023-6,489.94532199902545
2023-7,488.96553860685214
2023-8,487.7163493522746
