,Mato Grosso do Sul - Desemprego
2016-12,7.039488910244343
2017-1,7.012813943321785
2017-2,7.0044103676539
2017-3,6.996006791986016
2017-4,6.987603216318131
2017-5,6.979199640650247
2017-6,6.970796064982363
2017-7,6.962392489314478
2017-8,6.953988913646594
2017-9,6.945585337978709
2017-10,6.937181762310825
2017-11,6.9287781866429405
2017-12,6.920374610975056
2018-1,6.911971035307172
2018-2,6.905554832220091
2018-3,6.8991386291330095
2018-4,6.892722426045928
2018-5,6.886306222958847
2018-6,6.879890019871766
2018-7,6.873473816784685
2018-8,6.867057613697603
2018-9,6.860641410610522
2018-10,6.854225207523441
2018-11,6.8478090044363595
2018-12,6.841392801349278
2019-1,6.834976598262197
2019-2,6.822659942859287
2019-3,6.8103432874563765
2019-4,6.798026632053467
2019-5,6.785709976650557
2019-6,6.773393321247646
2019-7,6.761076665844736
2019-8,6.748760010441826
2019-9,6.736443355038915
2019-10,6.724126699636005
2019-11,6.711810044233095
2019-12,6.699493388830184
2020-1,6.6871767334272745
2020-2,6.6725476916001165
2020-3,6.6579186497729586
2020-4,6.6432896079458015
2020-5,6.6286605661186435
2020-6,6.6140315242914856
2020-7,6.599402482464328
2020-8,6.58477344063717
2020-9,6.570144398810012
2020-10,6.555515356982854
2020-11,6.540886315155697
2020-12,6.526257273328539
2021-1,6.511628231501381
2021-2,6.5120494552217805
2021-3,6.51247067894218
2021-4,6.51289190266258
2021-5,6.51331312638298
2021-6,6.5137343501033795
2021-7,6.514155573823779
2021-8,6.514576797544179
2021-9,6.514998021264579
2021-10,6.515419244984979
2021-11,6.515840468705378
2021-12,6.516261692425778
2022-1,6.516682916146178
