,Paraná - Desemprego
2021-4,7.100377573538073
2021-5,7.102206274704127
2021-6,7.1040349758701815
2021-7,7.105863677036235
2021-8,7.107692378202289
2021-9,7.109521079368344
2021-10,7.111349780534398
2021-11,7.1131784817004515
2021-12,7.115007182866506
2022-1,7.11683588403256
